"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2185","Product search test @master @regression","chromium","Fri May 30 07:33:52 IST 2025","passed","Fri May 30 07:33:54 IST 2025","","SearchProduct.spec.ts","",""
"","13049","User registration test @master @sanity @regression","chromium","Tue Jun 03 07:52:43 IST 2025","passed","Tue Jun 03 07:52:56 IST 2025","","AccountRegistration.spec.ts","",""
"","3255","Login Test with CSV Data: Valid login @datadriven","chromium","Thu May 29 09:19:32 IST 2025","passed","Thu May 29 09:19:35 IST 2025","","LoginDataDriven.spec.ts","",""
"","3302","Login Test with CSV Data: Invalid login @datadriven","chromium","Thu May 29 09:19:35 IST 2025","passed","Thu May 29 09:19:38 IST 2025","","LoginDataDriven.spec.ts","",""
"","13854","execute end-to-end test flow @end-to-end","chromium","Fri May 30 07:31:33 IST 2025","passed","Fri May 30 07:31:47 IST 2025","","EndToEndTest.spec.ts","",""
"","2994","Login Test with JSON Data: Invalid login @datadriven","chromium","Thu May 29 09:19:29 IST 2025","passed","Thu May 29 09:19:32 IST 2025","","LoginDataDriven.spec.ts","",""
"","3081","Add product to cart test @master @regression","chromium","Fri May 30 07:33:43 IST 2025","passed","Fri May 30 07:33:46 IST 2025","","AddToCart.spec.ts","",""
"","8166","User registration test","chromium","Thu May 29 07:11:57 IST 2025","passed","Thu May 29 07:12:05 IST 2025","","AccountRegistration.spec.ts","",""
"","2957","User login test","chromium","Thu May 29 07:27:50 IST 2025","passed","Thu May 29 07:27:53 IST 2025","","Login.spec.ts","",""
"","3369","User logout test @master @regression","chromium","Fri May 30 07:33:48 IST 2025","passed","Fri May 30 07:33:52 IST 2025","","Logout.spec.ts","",""
"","5683","User login test @master @sanity @regression","chromium","Tue Jun 03 07:52:57 IST 2025","passed","Tue Jun 03 07:53:03 IST 2025","","Login.spec.ts","",""
"","3890","Login Test with JSON Data: Valid login @datadriven","chromium","Thu May 29 09:19:25 IST 2025","passed","Thu May 29 09:19:29 IST 2025","","LoginDataDriven.spec.ts","",""
